airline,date,departure_time,arrival_time,departure_place,arrival_place,flight_time,seat,price,day,holiday
대한항공,2023-08-06,14:00,15:00,PUS,CJU,60,일반석,102700,일요일,주말
진에어,2023-08-06,14:20,15:20,PUS,CJU,60,할인석,78500,일요일,주말
대한항공,2023-08-06,14:20,15:20,PUS,CJU,60,일반석,93700,일요일,주말
진에어,2023-08-06,14:20,15:20,PUS,CJU,60,일반석,95700,일요일,주말
에어부산,2023-08-06,14:40,15:40,PUS,CJU,60,할인석,77950,일요일,주말
제주항공,2023-08-06,14:40,15:40,PUS,CJU,60,할인석,84600,일요일,주말
제주항공,2023-08-06,14:40,15:40,PUS,CJU,60,일반석,99700,일요일,주말
에어부산,2023-08-06,14:40,15:40,PUS,CJU,60,일반석,99700,일요일,주말
에어부산,2023-08-06,15:00,15:55,PUS,CJU,55,할인석,77080,일요일,주말
에어부산,2023-08-06,15:00,15:55,PUS,CJU,55,일반석,99700,일요일,주말
제주항공,2023-08-06,15:30,16:50,PUS,CJU,80,할인석,84600,일요일,주말
제주항공,2023-08-06,15:30,16:50,PUS,CJU,80,일반석,99700,일요일,주말
에어부산,2023-08-06,16:40,17:40,PUS,CJU,60,할인석,82300,일요일,주말
대한항공,2023-08-06,16:40,17:40,PUS,CJU,60,할인석,93700,일요일,주말
에어부산,2023-08-06,16:40,17:40,PUS,CJU,60,일반석,99700,일요일,주말
아시아나항공,2023-08-06,16:40,17:40,PUS,CJU,60,일반석,99700,일요일,주말
대한항공,2023-08-06,16:40,17:40,PUS,CJU,60,일반석,102700,일요일,주말
제주항공,2023-08-06,17:00,18:00,PUS,CJU,60,할인석,84600,일요일,주말
제주항공,2023-08-06,17:00,18:00,PUS,CJU,60,일반석,99700,일요일,주말
에어부산,2023-08-06,18:00,19:00,PUS,CJU,60,할인석,79690,일요일,주말
에어부산,2023-08-06,18:00,19:00,PUS,CJU,60,일반석,99700,일요일,주말
아시아나항공,2023-08-06,18:00,19:00,PUS,CJU,60,일반석,103700,일요일,주말
진에어,2023-08-06,19:00,20:00,PUS,CJU,60,할인석,75500,일요일,주말
대한항공,2023-08-06,19:00,20:00,PUS,CJU,60,할인석,81700,일요일,주말
대한항공,2023-08-06,19:00,20:00,PUS,CJU,60,일반석,93700,일요일,주말
진에어,2023-08-06,19:00,20:00,PUS,CJU,60,일반석,95700,일요일,주말
진에어,2023-08-06,19:00,20:00,PUS,CJU,60,비즈니스석,150700,일요일,주말
대한항공,2023-08-06,19:15,20:15,PUS,CJU,60,할인석,76700,일요일,주말
대한항공,2023-08-06,19:15,20:15,PUS,CJU,60,일반석,102700,일요일,주말
대한항공,2023-08-06,19:15,20:15,PUS,CJU,60,비즈니스석,162700,일요일,주말
에어부산,2023-08-06,19:35,20:40,PUS,CJU,65,할인석,73600,일요일,주말
에어부산,2023-08-06,19:35,20:40,PUS,CJU,65,일반석,99700,일요일,주말
아시아나항공,2023-08-06,19:35,20:40,PUS,CJU,65,일반석,99700,일요일,주말
대한항공,2023-08-06,21:00,22:00,PUS,CJU,60,할인석,76700,일요일,주말
대한항공,2023-08-06,21:00,22:00,PUS,CJU,60,일반석,102700,일요일,주말
대한항공,2023-08-06,21:00,22:00,PUS,CJU,60,비즈니스석,162700,일요일,주말
에어부산,2023-08-06,08:30,09:35,CJU,PUS,65,일반석,99700,일요일,주말
대한항공,2023-08-06,08:45,09:45,CJU,PUS,60,일반석,102700,일요일,주말
에어부산,2023-08-06,09:10,10:10,CJU,PUS,60,일반석,99700,일요일,주말
아시아나항공,2023-08-06,06:50,08:00,CJJ,CJU,70,할인석,81700,일요일,주말
아시아나항공,2023-08-06,06:50,08:00,CJJ,CJU,70,일반석,117700,일요일,주말
아시아나항공,2023-08-06,06:50,08:00,CJJ,CJU,70,비즈니스석,174700,일요일,주말
진에어,2023-08-06,07:20,08:35,CJJ,CJU,75,할인석,82600,일요일,주말
진에어,2023-08-06,07:20,08:35,CJJ,CJU,75,일반석,107700,일요일,주말
이스타항공,2023-08-06,07:45,08:50,CJJ,CJU,65,할인석,76600,일요일,주말
이스타항공,2023-08-06,07:45,08:50,CJJ,CJU,65,일반석,108600,일요일,주말
에어로케이,2023-08-06,08:20,09:25,CJJ,CJU,65,할인석,82700,일요일,주말
에어로케이,2023-08-06,08:20,09:25,CJJ,CJU,65,일반석,106700,일요일,주말
티웨이항공,2023-08-06,08:50,09:55,CJJ,CJU,65,할인석,86000,일요일,주말
티웨이항공,2023-08-06,08:50,09:55,CJJ,CJU,65,일반석,108700,일요일,주말
제주항공,2023-08-06,10:10,11:20,CJJ,CJU,70,일반석,107700,일요일,주말
진에어,2023-08-06,11:00,12:10,CJJ,CJU,70,일반석,107700,일요일,주말
제주항공,2023-08-06,11:20,12:25,CJJ,CJU,65,일반석,107700,일요일,주말
진에어,2023-08-06,12:00,13:05,CJJ,CJU,65,할인석,82600,일요일,주말
진에어,2023-08-06,12:00,13:05,CJJ,CJU,65,일반석,107700,일요일,주말
티웨이항공,2023-08-06,12:15,13:25,CJJ,CJU,70,할인석,81000,일요일,주말
티웨이항공,2023-08-06,12:15,13:25,CJJ,CJU,70,일반석,108700,일요일,주말
진에어,2023-08-06,12:30,13:40,CJJ,CJU,70,할인석,82600,일요일,주말
진에어,2023-08-06,12:30,13:40,CJJ,CJU,70,일반석,107700,일요일,주말
진에어,2023-08-06,12:30,13:40,CJJ,CJU,70,비즈니스석,157700,일요일,주말
에어로케이,2023-08-06,12:40,13:50,CJJ,CJU,70,할인석,67700,일요일,주말
에어로케이,2023-08-06,12:40,13:50,CJJ,CJU,70,일반석,106700,일요일,주말
아시아나항공,2023-08-06,12:55,13:55,CJJ,CJU,60,할인석,86700,일요일,주말
